movieRank,movieTitle,movieDate,movieRating
1,Um Sonho de Liberdade,1994,9.2
2,O Poderoso Chefão,1972,9.2
3,Batman: O Cavaleiro das Trevas,2008,9.0
4,O Poderoso Chefão II,1974,9.0
5,12 Homens e uma Sentença,1957,9.0
6,A Lista de Schindler,1993,8.9
7,O Senhor dos Anéis: O Retorno do Rei,2003,8.9
8,Pulp Fiction: Tempo de Violência,1994,8.8
9,O Senhor dos Anéis: A Sociedade do Anel,2001,8.8
10,Três Homens em Conflito,1966,8.8
11,Forrest Gump: O Contador de Histórias,1994,8.8
12,Clube da Luta,1999,8.7
13,O Senhor dos Anéis: As Duas Torres,2002,8.7
14,A Origem,2010,8.7
15,O Império Contra-Ataca,1980,8.7
16,Matrix,1999,8.7
17,Os Bons Companheiros,1990,8.7
18,Um Estranho no Ninho,1975,8.6
19,Seven: Os Sete Crimes Capitais,1995,8.6
20,Os Sete Samurais,1954,8.6
21,A Felicidade Não se Compra,1946,8.6
22,O Silêncio dos Inocentes,1991,8.6
23,Cidade de Deus,2002,8.6
24,O Resgate do Soldado Ryan,1998,8.6
25,A Vida é Bela,1997,8.6
26,Interestelar,2014,8.6
27,À Espera de um Milagre,1999,8.6
28,Guerra nas Estrelas,1977,8.5
29,O Exterminador do Futuro 2 - O Julgamento Final,1991,8.5
30,De Volta para o Futuro,1985,8.5
31,A Viagem de Chihiro,2001,8.5
32,O Pianista,2002,8.5
33,Psicose,1960,8.5
34,Parasita,2019,8.5
35,O Profissional,1994,8.5
36,O Rei Leão,1994,8.5
37,Gladiador,2000,8.5
38,A Outra História Americana,1998,8.5
39,Os Infiltrados,2006,8.5
40,Os Suspeitos,1995,8.5
41,O Grande Truque,2006,8.5
42,Whiplash: Em Busca da Perfeição,2014,8.5
43,Casablanca,1942,8.5
44,Harakiri,1962,8.5
45,Túmulo dos Vagalumes,1988,8.5
46,Intocáveis,2011,8.5
47,Tempos Modernos,1936,8.4
48,Era uma Vez no Oeste,1968,8.4
49,Janela Indiscreta,1954,8.4
50,Cinema Paradiso,1988,8.4
